fold,video_id,true_label,predicted_label,predicted_prob,model
0,45.MG,1,1,0.6181697853822957,anatomy_classifier
0,51.RG,1,1,0.6238352523582719,anatomy_classifier
0,50.RG,1,1,0.5946713644822759,anatomy_classifier
0,40.RG,1,1,0.5628055213574101,anatomy_classifier
0,44.RG,1,1,0.6118225365330614,anatomy_classifier
0,5.MG,1,0,0.4667633103836182,anatomy_classifier
0,48.RG,1,1,0.5903123442899478,anatomy_classifier
0,26.RB,0,1,0.5113002119544551,anatomy_classifier
0,17.RB,0,1,0.5133505533884068,anatomy_classifier
0,33.RB,0,1,0.5092494902160728,anatomy_classifier
0,38.CB,0,0,0.42421919758338456,anatomy_classifier
0,28.CB,0,1,0.519908288038741,anatomy_classifier
0,4.RB,0,0,0.4476221360398933,anatomy_classifier
1,41.MG,1,1,0.9978457233333599,anatomy_classifier
1,6.RG,1,1,0.9792792084485601,anatomy_classifier
1,11.MG,1,1,0.6265741659036927,anatomy_classifier
1,2.MG,1,1,0.9342646859410494,anatomy_classifier
1,18.RG,1,1,0.9753046666451938,anatomy_classifier
1,49.RG,1,1,0.9926254365055809,anatomy_classifier
1,32.RB,0,0,0.0028529881062510165,anatomy_classifier
1,53.RB,0,0,0.0003740179965148332,anatomy_classifier
1,29.CB,0,0,0.0059053409326970075,anatomy_classifier
1,13.MB,0,1,0.8379676040859085,anatomy_classifier
1,37.LB,0,0,9.750030977509696e-06,anatomy_classifier
1,39.LB,0,0,0.01042732500570738,anatomy_classifier
1,35.RB,0,0,1.066216395761848e-05,anatomy_classifier
2,20.MG,1,0,0.14945481140845868,anatomy_classifier
2,14.RG,1,1,0.6589954325504879,anatomy_classifier
2,21.RG,1,1,0.989466866343469,anatomy_classifier
2,23.RG,1,0,0.09437578166711971,anatomy_classifier
2,3.LG,1,0,0.0004089349089006442,anatomy_classifier
2,47.MG,1,1,0.8971857530127588,anatomy_classifier
2,16.RB,0,1,0.5332917128184066,anatomy_classifier
2,27.RB,0,0,0.015217870118512708,anatomy_classifier
2,34.MB,0,0,0.015419008533210597,anatomy_classifier
2,8.MB,0,0,0.0014129269111273672,anatomy_classifier
2,36.LB,0,0,0.19156973040520495,anatomy_classifier
2,31.RB,0,0,0.231264485062927,anatomy_classifier
3,54.MG,1,1,0.6245478179009032,anatomy_classifier
3,19.LG,1,0,0.4400871877260179,anatomy_classifier
3,43.RG,1,1,0.6674626753213213,anatomy_classifier
3,46.RG,1,1,0.6235898336279796,anatomy_classifier
3,1.RG,1,0,0.4538134150313368,anatomy_classifier
3,52.MG,1,1,0.6442435974565657,anatomy_classifier
3,7.LB,0,0,0.4546232401024956,anatomy_classifier
3,15.LB,0,0,0.3693956910337716,anatomy_classifier
3,12.MB,0,0,0.26984418696597445,anatomy_classifier
3,10.MB,0,1,0.521248183498274,anatomy_classifier
3,25.RB,0,1,0.5442161706527608,anatomy_classifier
3,30.CB,0,1,0.5940369209942444,anatomy_classifier
