fold,video_id,true_label,hybrid_predicted_label,hybrid_predicted_prob,hybrid_correct,anatomy_predicted_label,anatomy_predicted_prob,anatomy_correct,ensemble_predicted_label,ensemble_predicted_prob,ensemble_correct
0,17.RB,0,0,0.21517014329460482,1,1,0.5133505533884068,0,0,0.36426034834150584,1
0,26.RB,0,0,0.07681033187493938,1,1,0.5113002119544551,0,0,0.2940552719146972,1
0,28.CB,0,0,0.043695983720966815,1,1,0.519908288038741,0,0,0.2818021358798539,1
0,33.RB,0,0,0.19490241991252055,1,1,0.5092494902160728,0,0,0.3520759550642967,1
0,38.CB,0,0,0.307376473925327,1,0,0.42421919758338456,1,0,0.36579783575435576,1
0,4.RB,0,1,0.540165067148072,0,0,0.4476221360398933,1,0,0.49389360159398266,1
0,40.RG,1,1,0.508228977272819,1,1,0.5628055213574101,1,1,0.5355172493151146,1
0,44.RG,1,1,0.6361664588308265,1,1,0.6118225365330614,1,1,0.6239944976819439,1
0,45.MG,1,1,0.8560445898080745,1,1,0.6181697853822957,1,1,0.7371071875951851,1
0,48.RG,1,1,0.7757614461435476,1,1,0.5903123442899478,1,1,0.6830368952167477,1
0,5.MG,1,1,0.6387330369889389,1,0,0.4667633103836182,0,1,0.5527481736862785,1
0,50.RG,1,1,0.7682720300352341,1,1,0.5946713644822759,1,1,0.681471697258755,1
0,51.RG,1,1,0.7131306576381028,1,1,0.6238352523582719,1,1,0.6684829549981873,1
1,11.MG,1,1,0.5805087510539069,1,1,0.6265741659036927,1,1,0.6035414584787998,1
1,13.MB,0,1,0.5077927037238501,0,1,0.8379676040859085,0,1,0.6728801539048793,0
1,18.RG,1,1,0.7373781597840056,1,1,0.9753046666451938,1,1,0.8563414132145997,1
1,2.MG,1,1,0.8893440524012367,1,1,0.9342646859410494,1,1,0.911804369171143,1
1,29.CB,0,0,0.2849283235194139,1,0,0.0059053409326970075,1,0,0.14541683222605545,1
1,32.RB,0,1,0.7044547253140532,0,0,0.0028529881062510165,1,0,0.3536538567101521,1
1,35.RB,0,0,0.1665154321432509,1,0,1.066216395761848e-05,1,0,0.08326304715360426,1
1,37.LB,0,0,0.2254573712566447,1,0,9.750030977509696e-06,1,0,0.1127335606438111,1
1,39.LB,0,0,0.10217117528151912,1,0,0.01042732500570738,1,0,0.05629925014361325,1
1,41.MG,1,1,0.7670902717832885,1,1,0.9978457233333599,1,1,0.8824679975583242,1
1,49.RG,1,1,0.6872553821582745,1,1,0.9926254365055809,1,1,0.8399404093319277,1
1,53.RB,0,0,0.2155726121127818,1,0,0.0003740179965148332,1,0,0.10797331505464831,1
1,6.RG,1,1,0.8683875683054363,1,1,0.9792792084485601,1,1,0.9238333883769982,1
2,14.RG,1,0,0.359710844790379,0,1,0.6589954325504879,1,1,0.5093531386704334,1
2,16.RB,0,0,0.12313093939713428,1,1,0.5332917128184066,0,0,0.32821132610777043,1
2,20.MG,1,1,0.6685067143815874,1,0,0.14945481140845868,0,0,0.40898076289502305,0
2,21.RG,1,1,0.7235957215808848,1,1,0.989466866343469,1,1,0.856531293962177,1
2,23.RG,1,0,0.32047142493425157,0,0,0.09437578166711971,0,0,0.20742360330068565,0
2,27.RB,0,1,0.47342373385688513,0,0,0.015217870118512708,1,0,0.24432080198769893,1
2,3.LG,1,1,0.6597154922515,1,0,0.0004089349089006442,0,0,0.33006221358020027,0
2,31.RB,0,0,0.12797721097620662,1,0,0.231264485062927,1,0,0.1796208480195668,1
2,34.MB,0,0,0.11567865968579617,1,0,0.015419008533210597,1,0,0.06554883410950338,1
2,36.LB,0,0,0.22466390321463775,1,0,0.19156973040520495,1,0,0.20811681680992133,1
2,47.MG,1,1,0.8309040681350153,1,1,0.8971857530127588,1,1,0.864044910573887,1
2,8.MB,0,0,0.08410514541403781,1,0,0.0014129269111273672,1,0,0.04275903616258259,1
3,1.RG,1,1,0.8602168431184927,1,0,0.4538134150313368,0,1,0.6570151290749148,1
3,10.MB,0,1,0.7185228127128862,0,1,0.521248183498274,0,1,0.6198854981055801,0
3,12.MB,0,0,0.2196393282919178,1,0,0.26984418696597445,1,0,0.24474175762894612,1
3,15.LB,0,0,0.3881254622658974,1,0,0.3693956910337716,1,0,0.37876057664983453,1
3,19.LG,1,1,0.5898219109551724,1,0,0.4400871877260179,0,1,0.5149545493405951,1
3,25.RB,0,0,0.1195855835107193,1,1,0.5442161706527608,0,0,0.3319008770817401,1
3,30.CB,0,1,0.857630952599317,0,1,0.5940369209942444,0,1,0.7258339367967808,0
3,43.RG,1,1,0.7069989063548452,1,1,0.6674626753213213,1,1,0.6872307908380832,1
3,46.RG,1,1,0.9425000978962453,1,1,0.6235898336279796,1,1,0.7830449657621125,1
3,52.MG,1,1,0.7576354868908992,1,1,0.6442435974565657,1,1,0.7009395421737324,1
3,54.MG,1,1,0.8237324394573078,1,1,0.6245478179009032,1,1,0.7241401286791055,1
3,7.LB,0,0,0.3480951299996858,1,0,0.4546232401024956,1,0,0.4013591850510907,1
