fold,video_id,true_label,hybrid_predicted_label,hybrid_predicted_prob,hybrid_correct,anatomy_predicted_label,anatomy_predicted_prob,anatomy_correct,ensemble_predicted_label,ensemble_predicted_prob,ensemble_correct,ensemble_fixes_hybrid,hybrid_wrong_anatomy_right,anatomy_wrong_hybrid_right
0,17.RB,0,0,0.23217219884117055,1,1,1.0,0,1,0.6160860994205852,0,0,0,1
0,4.RB,0,1,0.5325519293167763,0,1,0.9906634650211068,0,1,0.7616076971689416,0,0,0,0
1,13.MB,0,1,0.5166062058016546,0,1,0.9850010126878594,0,1,0.750803609244757,0,0,0,0
1,2.MG,1,1,0.9453325641769825,1,0,0.23283396871892034,0,1,0.5890832664479514,1,0,0,1
1,32.RB,0,1,0.7689601716114522,0,0,0.0018646670877266224,1,0,0.3854124193495894,1,1,1,0
1,37.LB,0,0,0.16112110204307162,1,1,0.8636937623813232,0,1,0.5124074322121974,0,0,0,1
2,14.RG,1,0,0.41486221051515815,0,1,0.947689108175472,1,1,0.6812756593453151,1,1,1,0
2,20.MG,1,1,0.6290223434536764,1,0,0.01583345846059364,0,0,0.322427900957135,0,0,0,1
2,23.RG,1,0,0.38856644422136255,0,0,2.709681918751939e-08,0,0,0.19428323565909086,0,0,0,0
2,27.RB,0,1,0.49399515426952706,0,0,0.00011233309762381426,1,0,0.24705374368357544,1,1,1,0
3,10.MB,0,1,0.8117568393831596,0,0,0.001248088048759598,1,0,0.4065024637159596,1,1,1,0
3,19.LG,1,1,0.654020703996848,1,0,2.1291746295595343e-05,0,0,0.3270209978715718,0,0,0,1
3,30.CB,0,1,0.9364049457629534,0,1,0.9846924982967892,0,1,0.9605487220298713,0,0,0,0
