fold,video_id,true_label,predicted_label,predicted_prob,logit_mean,n_clips
0,51.RG,1,1,0.9711283679035426,0.9711283679035426,1
0,40.RG,1,0,2.052280927681624e-06,2.052280927681624e-06,1
0,46.RG,1,1,0.8819034107866357,0.8819034107866357,1
0,32.RB,0,0,8.133004849397277e-14,8.133004849397277e-14,1
0,26.RB,0,0,1.7311723628871536e-05,1.7311723628871536e-05,1
1,50.RG,1,1,0.9391865541609983,0.9391865541609983,1
1,47.MG,1,0,2.387730650544699e-12,2.387730650544699e-12,1
1,52.MG,1,1,0.999999684609179,0.999999684609179,1
1,29.CB,0,1,0.9999682026785456,0.9999682026785456,1
1,30.CB,0,0,0.053459923231545345,0.053459923231545345,1
2,2.MG,1,1,0.9244109800238776,0.9244109800238776,1
2,48.RG,1,1,0.9917689956704236,0.9917689956704236,1
2,33.RB,0,0,0.3975876620299974,0.3975876620299974,1
2,28.CB,0,0,0.06469797544178044,0.06469797544178044,1
2,25.RB,0,1,0.9999999331385168,0.9999999331385168,1
3,45.MG,1,1,0.9994994620626894,0.9994994620626894,1
3,1.RG,1,0,0.09112514481244827,0.09112514481244827,1
3,17.RB,0,1,0.9999637323136609,0.9999637323136609,1
3,24.RB,0,1,1.0,1.0,1
3,31.RB,0,0,0.019544824902730417,0.019544824902730417,1
