fold,video_id,true_label,predicted_label,predicted_prob,prob_mean,n_frames
0,2.MG,1,1,0.8799696564674377,0.8799696564674377,1
0,24.RB,0,0,0.3986782133579254,0.3986782133579254,1
0,29.CB,0,0,0.14250914752483368,0.14250914752483368,1
0,51.RG,1,1,0.5339820981025696,0.5339820981025696,1
1,1.RG,1,1,0.9284618496894836,0.9284618496894836,1
1,28.CB,0,1,0.6560598015785217,0.6560598015785217,1
1,40.RG,1,1,0.9244462251663208,0.9244462251663208,1
2,25.RB,0,0,0.06333162635564804,0.06333162635564804,1
2,26.RB,0,0,0.0976816713809967,0.0976816713809967,1
2,50.RG,1,0,0.15296758711338043,0.15296758711338043,1
