fold,video_id,true_label,predicted_label,predicted_prob,prob_mean,n_frames
0,12.MB,0,0,0.32160887122154236,0.32160887122154236,1
0,2.MG,1,1,0.9800950288772583,0.9800950288772583,1
0,3.LG,1,1,0.9406456351280212,0.9406456351280212,1
0,4.RB,0,1,0.9516673684120178,0.9516673684120178,1
1,17.RB,0,1,0.8633851408958435,0.8633851408958435,1
1,24.RB,0,1,0.8369019627571106,0.8369019627571106,1
1,5.MG,1,1,0.7167237401008606,0.7167237401008606,1
2,11.MG,1,0,0.4485366642475128,0.4485366642475128,1
2,23.RG,1,0,0.40050312876701355,0.40050312876701355,1
2,8.MB,0,0,0.15822240710258484,0.15822240710258484,1
