fold,video_id,true_label,predicted_label,predicted_prob,logit_mean,n_clips
0,14.RG,1,1,0.5059379423347946,0.023752886056900024,5
0,7.LB,0,1,0.6051600181326962,0.42701234221458434,5
1,15.LB,0,1,0.5329844589078366,0.13212973028421401,5
1,2.MG,1,1,0.539502293514924,0.15833916068077086,5
2,13.MB,0,1,0.5463511358071491,0.18593840301036835,5
2,3.LG,1,1,0.5338601272383136,0.13564812541007995,5
3,24.RB,0,0,0.3807081665892313,-0.4865435063838959,5
3,5.MG,1,0,0.3856743258559256,-0.4655319035053253,5
4,11.MG,1,1,0.9760727740147573,3.7085201740264893,5
4,16.RB,0,1,0.9874075814344568,4.361987972259522,5
