fold,video_id,true_label,predicted_label,predicted_prob,logit_mean,n_clips
0,12.MB,0,1,0.779311985928745,1.261661458015442,5
0,2.MG,1,1,0.8055657599517052,1.4214508295059205,5
0,3.LG,1,1,0.800592602457954,1.3900022506713867,5
0,4.RB,0,1,0.802652241431489,1.4029541015625,5
1,17.RB,0,0,0.4711419238251174,-0.1155607357621193,5
1,24.RB,0,0,0.462461562281743,-0.1504368245601654,5
1,5.MG,1,0,0.471269955503625,-0.11504690498113632,5
2,11.MG,1,1,0.5380796930148483,0.1526142969727516,5
2,23.RG,1,1,0.5217489653234396,0.08705079108476639,5
2,8.MB,0,1,0.5227802996511196,0.09118432607501745,5
