fold,video_id,true_label,predicted_label,predicted_prob,logit_mean,n_clips
0,26.RB,0,0,0.008249717920521737,-4.789292335510254,5
0,32.RB,0,0,0.0035456760170975085,-5.638474464416504,5
0,40.RG,1,1,0.7841552051506755,1.2900473594665527,5
0,46.RG,1,1,0.9154239405867797,2.3817360401153564,5
0,51.RG,1,1,0.9633506798164088,3.2690226197242738,5
1,29.CB,0,0,0.07201668895039194,-2.5561158657073975,5
1,30.CB,0,1,0.7629414560877752,1.168874168395996,5
1,47.MG,1,1,0.8568456136961704,1.7893340826034545,5
1,50.RG,1,1,0.9449800961376923,2.8434688568115236,5
1,52.MG,1,1,0.9435928708014943,2.8170992374420165,5
2,2.MG,1,1,0.7871660652982172,1.3079270243644714,5
2,25.RB,0,0,0.20177289941967574,-1.3752503395080566,5
2,28.CB,0,0,0.3136054117123625,-0.7833171188831329,5
2,33.RB,0,0,0.19754510682791673,-1.4017086982727052,5
2,48.RG,1,1,0.8779250801756635,1.9729263067245484,5
3,1.RG,1,1,0.9922687816336414,4.854727554321289,5
3,17.RB,0,1,0.9896374322148768,4.559138584136963,5
3,24.RB,0,1,0.9026139232653055,2.2266116619110106,5
3,31.RB,0,0,0.3432185311251543,-0.6489839822053909,5
3,45.MG,1,1,0.7319291853961439,1.004432588815689,5
