fold,video_id,true_label,predicted_label,predicted_prob,prob_mean,n_frames
0,51.RG,1,1,0.7495088445012031,0.7495088445012031,-1
0,2.MG,1,1,0.9703153969083396,0.9703153969083396,-1
0,29.CB,0,0,0.3468288156140148,0.3468288156140148,-1
0,24.RB,0,0,0.24256834156627158,0.24256834156627158,-1
1,40.RG,1,1,0.5659935235387052,0.5659935235387052,-1
1,1.RG,1,1,0.5407151679982908,0.5407151679982908,-1
1,28.CB,0,0,0.37945479064756393,0.37945479064756393,-1
2,50.RG,1,1,0.5653199024733214,0.5653199024733214,-1
2,26.RB,0,0,0.5154743990750961,0.5154743990750961,-1
2,25.RB,0,0,0.47461741420151704,0.47461741420151704,-1
