fold,video_id,true_label,predicted_label,predicted_prob,prob_mean,n_frames
0,51.RG,1,1,0.7427776211804126,0.7427776211804126,-1
0,2.MG,1,1,0.9653448273478689,0.9653448273478689,-1
0,29.CB,0,0,0.35879163743767983,0.35879163743767983,-1
0,24.RB,0,0,0.25774488222057895,0.25774488222057895,-1
1,40.RG,1,1,0.23223158157911647,0.23223158157911647,-1
1,1.RG,1,1,0.26257823903277727,0.26257823903277727,-1
1,28.CB,0,0,0.5064347379573425,0.5064347379573425,-1
2,50.RG,1,1,0.6580304006167398,0.6580304006167398,-1
2,26.RB,0,0,0.42624562915345154,0.42624562915345154,-1
2,25.RB,0,0,0.25426266018574606,0.25426266018574606,-1
