fold,video_id,true_label,predicted_label,predicted_prob,prob_mean,n_frames
0,51.RG,1,1,0.5,0.5,-1
0,40.RG,1,1,0.48050982653235136,0.48050982653235136,-1
0,46.RG,1,1,0.892934659005219,0.892934659005219,-1
0,32.RB,0,1,0.4694603797321451,0.4694603797321451,-1
0,26.RB,0,0,0.14338496465978476,0.14338496465978476,-1
1,50.RG,1,1,0.6839208885814426,0.6839208885814426,-1
1,47.MG,1,1,0.6102815464795398,0.6102815464795398,-1
1,52.MG,1,1,0.6913718503483965,0.6913718503483965,-1
1,29.CB,0,0,0.2653379727056216,0.2653379727056216,-1
1,30.CB,0,1,0.6733204285491438,0.6733204285491438,-1
2,2.MG,1,1,0.4836098056919463,0.4836098056919463,-1
2,48.RG,1,1,0.5780466775211396,0.5780466775211396,-1
2,33.RB,0,0,0.41364201019185753,0.41364201019185753,-1
2,28.CB,0,0,0.26349243385621823,0.26349243385621823,-1
2,25.RB,0,0,0.35439758854010533,0.35439758854010533,-1
3,45.MG,1,1,0.5929459844166132,0.5929459844166132,-1
3,1.RG,1,1,0.7450887980254672,0.7450887980254672,-1
3,17.RB,0,1,0.7274533927063893,0.7274533927063893,-1
3,24.RB,0,0,0.3716348571869467,0.3716348571869467,-1
3,31.RB,0,0,0.19809922457926338,0.19809922457926338,-1
